"","day","nitrate","pCO2_atmos","temp","dNO3","pCO2","DIC","slDON","slDOC","airseaFlux","BML_DIC","BML_NO3"
"1",1,12,390,10,0,397,1996.99356748184,0,0,0,1996.99356748184,12
"2",2,12,390,10,0,396.983642361535,1996.98491554532,0,0,-865.193652290284,1996.99356748184,12
"3",3,12,390,10,0,396.967323795796,1996.97628382669,0,0,-863.17186300937,1996.99356748184,12
"4",4,12,390,10,0,396.951044205478,1996.96767227766,0,0,-861.154903081993,1996.99356748184,12
"5",5,12,390,10,0,396.934803493538,1996.95908085006,0,0,-859.142760481248,1996.99356748184,12
"6",6,12,390,10,0,396.918601563191,1996.95050949582,0,0,-857.135423212756,1996.99356748184,12
"7",7,12,390,10,0,396.902438317916,1996.94195816703,0,0,-855.132879314088,1996.99356748184,12
"8",8,12,390,10,0,396.886313661444,1996.93342681586,0,0,-853.135116855108,1996.99356748184,12
"9",9,12,390,10,0,396.87022749777,1996.92491539462,0,0,-851.142123937363,1996.99356748184,12
"10",10,12,390,10,0,396.854179731144,1996.91642385574,0,0,-849.153888694392,1996.99356748184,12
"11",11,12,390,10,0,396.838170266072,1996.90795215174,0,0,-847.170399291764,1996.99356748184,12
"12",12,12,390,10,0,396.822199007313,1996.89950023530,0,0,-845.191643926464,1996.99356748184,12
"13",13,12,390,10,0,396.806265859885,1996.89106805920,0,0,-843.217610826839,1996.99356748184,12
"14",14,12,390,10,0,396.790370729059,1996.88265557631,0,0,-841.24828825319,1996.99356748184,12
"15",15,12,390,10,0,396.774513520357,1996.87426273967,0,0,-839.283664497088,1996.99356748184,12
"16",16,12,390,10,0,396.758694139556,1996.86588950239,0,0,-837.323727881098,1996.99356748184,12
"17",17,12,390,10,0,396.742912492683,1996.85753581772,0,0,-835.368466759284,1996.99356748184,12
"18",18,12,390,10,0,396.727168486016,1996.84920163903,0,0,-833.417869516862,1996.99356748184,12
"19",19,12,390,10,0,396.711462026086,1996.84088691978,0,0,-831.471924569736,1996.99356748184,12
"20",20,12,390,10,0,396.695793019668,1996.83259161358,0,0,-829.530620365327,1996.99356748184,12
"21",21,12,390,10,0,396.680161373791,1996.82431567412,0,0,-827.593945380939,1996.99356748184,12
"22",22,12,390,10,0,396.664566995729,1996.81605905524,0,0,-825.661888125553,1996.99356748184,12
"23",23,12,390,10,0,396.649009793007,1996.80782171087,0,0,-823.734437138342,1996.99356748184,12
"24",24,12,390,10,0,396.633489673389,1996.79960359506,0,0,-821.811580989349,1996.99356748184,12
"25",25,12,390,10,0,396.618006544892,1996.79140466198,0,0,-819.893308278483,1996.99356748184,12
"26",26,12,390,10,0,396.602560315776,1996.7832248659,0,0,-817.979607636603,1996.99356748184,12
"27",27,12,390,10,0,396.587150894543,1996.77506416122,0,0,-816.070467724702,1996.99356748184,12
"28",28,12,390,10,0,396.571778189940,1996.76692250245,0,0,-814.16587723382,1996.99356748184,12
"29",29,12,390,10,0,396.556442110961,1996.75879984420,0,0,-812.265824885174,1996.99356748184,12
"30",30,12,390,10,0,396.541142566833,1996.75069614121,0,0,-810.370299430271,1996.99356748184,12
"31",31,12,390,10,0,396.525879467032,1996.74261134831,0,0,-808.479289649949,1996.99356748184,12
"32",32,12,390,10,0,396.510652721271,1996.73454542047,0,0,-806.592784355382,1996.99356748184,12
"33",33,12,390,10,0,396.495462239507,1996.72649831275,0,0,-804.710772387206,1996.99356748184,12
"34",34,12,390,10,0,396.480307931928,1996.71846998032,0,0,-802.833242616049,1996.99356748184,12
"35",35,12,390,10,0,396.465189708973,1996.71046037848,0,0,-800.960183941547,1996.99356748184,12
"36",36,12,390,10,0,396.450107481306,1996.70246946263,0,0,-799.091585293738,1996.99356748184,12
"37",37,12,390,10,0,396.435061159836,1996.69449718827,0,0,-797.22743563092,1996.99356748184,12
"38",38,12,390,10,0,396.420050655705,1996.68654351103,0,0,-795.367723941378,1996.99356748184,12
"39",39,12,390,10,0,396.405075880294,1996.67860838664,0,0,-793.512439242639,1996.99356748184,12
"40",40,12,390,10,0,396.390136745215,1996.67069177093,0,0,-791.661570581141,1996.99356748184,12
"41",41,12,390,10,0,396.375233162318,1996.66279361986,0,0,-789.815107032436,1996.99356748184,12
"42",42,12,390,10,0,396.360365043684,1996.65491388949,0,0,-787.97303770111,1996.99356748184,12
"43",43,12,390,10,0,396.345532301628,1996.64705253597,0,0,-786.135351720651,1996.99356748184,12
"44",44,12,390,10,0,396.330734848696,1996.63920951559,0,0,-784.302038253044,1996.99356748184,12
"45",45,12,390,10,0,396.315972597669,1996.63138478472,0,0,-782.47308648929,1996.99356748184,12
"46",46,12,390,10,0,396.301245461553,1996.62357829986,0,0,-780.648485648911,1996.99356748184,12
"47",47,12,390,10,0,396.28655335359,1996.61579001761,0,0,-778.828224979786,1996.99356748184,12
"48",48,12,390,10,0,396.271896187249,1996.60801989468,0,0,-777.012293758598,1996.99356748184,12
"49",49,12,390,10,0,396.257273876225,1996.60026788786,0,0,-775.200681290205,1996.99356748184,12
"50",50,12,390,10,0,396.242686334451,1996.59253395409,0,0,-773.393376907432,1996.99356748184,12
"51",51,12,390,10,0,396.228133476073,1996.58481805040,0,0,-771.590369972285,1996.99356748184,12
"52",52,12,390,10,0,396.213615215472,1996.57712013390,0,0,-769.791649873572,1996.99356748184,12
"53",53,12,390,10,0,396.199131467261,1996.56944016184,0,0,-767.997206028718,1996.99356748184,12
"54",54,12,390,10,0,396.184682146267,1996.56177809156,0,0,-766.207027883868,1996.99356748184,12
"55",55,12,390,10,0,396.170267167548,1996.55413388051,0,0,-764.421104911922,1996.99356748184,12
"56",56,12,390,10,0,396.155886446383,1996.54650748624,0,0,-762.639426613932,1996.99356748184,12
"57",57,12,390,10,0,396.141539898278,1996.53889886642,0,0,-760.861982518655,1996.99356748184,12
"58",58,12,390,10,0,396.127227438961,1996.53130797880,0,0,-759.088762182561,1996.99356748184,12
"59",59,12,390,10,0,396.11294898438,1996.52373478124,0,0,-757.319755189699,1996.99356748184,12
"60",60,12,390,10,0,396.098704450707,1996.51617923173,0,0,-755.554951151432,1996.99356748184,12
"61",61,12,390,10,0,396.084493754333,1996.50864128833,0,0,-753.794339706555,1996.99356748184,12
"62",62,12,390,10,0,396.07031681187,1996.50112090923,0,0,-752.037910521268,1996.99356748184,12
"63",63,12,390,10,0,396.056173540149,1996.49361805270,0,0,-750.285653288715,1996.99356748184,12
"64",64,12,390,10,0,396.042063856222,1996.48613267712,0,0,-748.537557729365,1996.99356748184,12
"65",65,12,390,10,0,396.027987677357,1996.47866474098,0,0,-746.793613590889,1996.99356748184,12
"66",66,12,390,10,0,396.013944921041,1996.47121420288,0,0,-745.053810647567,1996.99356748184,12
"67",67,12,390,10,0,395.999935504975,1996.46378102149,0,0,-743.318138701167,1996.99356748184,12
"68",68,12,390,10,0,395.985959347082,1996.45636515561,0,0,-741.5865875794,1996.99356748184,12
"69",69,12,390,10,0,395.972016365496,1996.44896656414,0,0,-739.859147137623,1996.99356748184,12
"70",70,12,390,10,0,395.958106478569,1996.44158520607,0,0,-738.135807257306,1996.99356748184,12
"71",71,12,390,10,0,395.944229604866,1996.43422104049,0,0,-736.416557846823,1996.99356748184,12
"72",72,12,390,10,0,395.930385663164,1996.42687402660,0,0,-734.701388840864,1996.99356748184,12
"73",73,12,390,10,0,395.916574572456,1996.4195441237,0,0,-732.99029020039,1996.99356748184,12
"74",74,12,390,10,0,395.902796251948,1996.41223129118,0,0,-731.283251912984,1996.99356748184,12
"75",75,12,390,10,0,395.889050621056,1996.40493548854,0,0,-729.580263992573,1996.99356748184,12
"76",76,12,390,10,0,395.875337599411,1996.39765667538,0,0,-727.881316479096,1996.99356748184,12
"77",77,12,390,10,0,395.861657106847,1996.39039481138,0,0,-726.186399438922,1996.99356748184,12
"78",78,12,390,10,0,395.848009063416,1996.38314985635,0,0,-724.495502963753,1996.99356748184,12
"79",79,12,390,10,0,395.834393389377,1996.37592177018,0,0,-722.808617171945,1996.99356748184,12
"80",80,12,390,10,0,395.820810005199,1996.36871051286,0,0,-721.125732207674,1996.99356748184,12
"81",81,12,390,10,0,395.807258831554,1996.36151604448,0,0,-719.446838240837,1996.99356748184,12
"82",82,12,390,10,0,395.793739789328,1996.35433832522,0,0,-717.77192546669,1996.99356748184,12
"83",83,12,390,10,0,395.780252799612,1996.34717731538,0,0,-716.100984106871,1996.99356748184,12
"84",84,12,390,10,0,395.766797783703,1996.34003297534,0,0,-714.434004408209,1996.99356748184,12
"85",85,12,390,10,0,395.753374663103,1996.33290526557,0,0,-712.770976643081,1996.99356748184,12
"86",86,12,390,10,0,395.739983359522,1996.32579414666,0,0,-711.111891109222,1996.99356748184,12
"87",87,12,390,10,0,395.726623794872,1996.31869957928,0,0,-709.45673813005,1996.99356748184,12
"88",88,12,390,10,0,395.713295891271,1996.3116215242,0,0,-707.805508054001,1996.99356748184,12
"89",89,11.2,390,10,-0.8,395.646819928571,1996.27631361464,0,0,-706.158191254876,1996.99356748184,12
"90",90,10.4,390,10,-0.799999999999999,385.798701271965,1990.96141652351,0,0,-697.941822546545,1998.31356748184,12.2
"91",91,9.6,390,10,-0.8,376.364339782334,1985.70738035916,0,0,519.27671298154,1999.63356748184,12.4
"92",92,8.8,390,10,-0.799999999999999,367.317020909251,1980.51164812105,0,0,1685.35523787314,2000.95356748184,12.6
"93",93,8,390,10,-0.8,358.632343531313,1975.37182790337,0,0,2803.59564633562,2002.27356748184,12.8
"94",94,7.2,390,10,-0.8,350.287971782294,1970.28567859811,0,0,3877.01389484718,2003.59356748184,13
"95",95,6.4,390,10,-0.8,342.263418336109,1965.25109713192,0,0,4908.37067621883,2004.91356748184,13.2
"96",96,5.6,390,10,-0.8,334.539854583463,1960.26610704219,0,0,5900.1982053765,2006.23356748184,13.4
"97",97,4.8,390,10,-0.8,327.099943875814,1955.32884822626,0,0,6854.82368135484,2007.55356748184,13.6
"98",98,4,390,10,-0.8,319.927694621911,1950.43756772117,0,0,7774.38989819258,2008.87356748184,13.8
"99",99,3.2,390,10,-0.8,313.008330524635,1945.59061139127,0,0,8660.87340206703,2010.19356748184,14
"100",100,2.4,390,10,-0.8,306.328175661773,1940.78641641777,0,0,9516.10052990245,2011.51356748184,14.2
"101",101,1.6,390,10,-0.8,299.874552459748,1936.02350449843,0,0,10341.7616132832,2012.83356748184,14.4
"102",102,0.8,390,10,-0.8,293.635690897530,1931.30047567787,0,0,11139.4235888067,2014.15356748184,14.6
"103",103,0,390,10,-0.8,287.600647518853,1926.61600273889,0,0,11910.5412203995,2015.47356748184,14.8
"104",104,0,390,10,0,281.759233033506,1921.96882609436,0,0,12656.467109332,2016.79356748184,15
"105",105,0,390,10,0,282.591302004135,1922.63774912649,0,0,13378.4606426347,2016.79356748184,15
"106",106,0,390,10,0,283.419862660597,1923.30153001011,0,0,13275.6176723981,2016.79356748184,15
"107",107,0,390,10,0,284.244888477638,1923.96019042644,0,0,13173.2083266112,2016.79356748184,15
"108",108,0,390,10,0,285.066353493764,1924.61375222063,0,0,13071.2358837713,2016.79356748184,15
"109",109,0,390,10,0,285.884232313786,1925.26223739826,0,0,12969.7035526954,2016.79356748184,15
"110",110,0,390,10,0,286.698500111141,1925.90566812187,0,0,12868.614472206,2016.79356748184,15
"111",111,0,390,10,0,287.509132630027,1926.54406670742,0,0,12767.9717108437,2016.79356748184,15
"112",112,0,390,10,0,288.316106187321,1927.17745562075,0,0,12667.7782666038,2016.79356748184,15
"113",113,0,390,10,0,289.1193976743,1927.80585747408,0,0,12568.0370666985,2016.79356748184,15
"114",114,0,390,10,0,289.918984558147,1928.42929502245,0,0,12468.7509673452,2016.79356748184,15
"115",115,0,390,10,0,290.714844883264,1929.04779116013,0,0,12369.9227535796,2016.79356748184,15
"116",116,0,390,10,0,291.506957272372,1929.66136891708,0,0,12271.5551390938,2016.79356748184,15
"117",117,0,390,10,0,292.295300927425,1930.27005145539,0,0,12173.6507660999,2016.79356748184,15
"118",118,0,390,10,0,293.0798556303,1930.87386206565,0,0,12076.2122052178,2016.79356748184,15
"119",119,0,390,10,0,293.860601743316,1931.47282416342,0,0,11979.2419553889,2016.79356748184,15
"120",120,0,390,10,0,294.637520209533,1932.06696128561,0,0,11882.7424438129,2016.79356748184,15
"121",121,0,390,10,0,295.410592552862,1932.65629708690,0,0,11786.7160259104,2016.79356748184,15
"122",122,0,390,10,0,296.179800877991,1933.24085533617,0,0,11691.164985309,2016.79356748184,15
"123",123,0,390,10,0,296.945127870101,1933.82065991286,0,0,11596.0915338532,2016.79356748184,15
"124",124,0,390,10,0,297.706556794399,1934.39573480344,0,0,11501.4978116390,2016.79356748184,15
"125",125,0,390,10,0,298.464071495471,1934.96610409780,0,0,11407.3858870714,2016.79356748184,15
"126",126,0,390,10,0,299.217656396434,1935.53179198564,0,0,11313.7577569451,2016.79356748184,15
"127",127,0,390,10,0,299.96729649791,1936.09282275297,0,0,11220.6153465486,2016.79356748184,15
"128",128,0,390,10,0,300.712977376822,1936.64922077846,0,0,11127.9605097916,2016.79356748184,15
"129",129,0,390,10,0,301.454685184999,1937.20101052993,0,0,11035.7950293533,2016.79356748184,15
"130",130,0,390,10,0,302.192406647619,1937.74821656077,0,0,10944.1206168548,2016.79356748184,15
"131",131,0,390,10,0,302.926129061462,1938.29086350642,0,0,10852.9389130524,2016.79356748184,15
"132",132,0,390,10,0,303.655840293001,1938.82897608083,0,0,10762.2514880524,2016.79356748184,15
"133",133,0,390,10,0,304.381528776321,1939.36257907290,0,0,10672.0598415477,2016.79356748184,15
"134",134,0,390,10,0,305.103183510868,1939.89169734306,0,0,10582.3654030751,2016.79356748184,15
"135",135,0,390,10,0,305.820794059036,1940.41635581967,0,0,10493.1695322929,2016.79356748184,15
"136",136,0,390,10,0,306.534350543603,1940.93657949564,0,0,10404.4735192798,2016.79356748184,15
"137",137,0,390,10,0,307.243843644985,1941.45239342488,0,0,10316.2785848516,2016.79356748184,15
"138",138,0,390,10,0,307.949264598363,1941.96382271892,0,0,10228.5858809002,2016.79356748184,15
"139",139,0,390,10,0,308.650605190641,1942.47089254346,0,0,10141.3964907494,2016.79356748184,15
"140",140,0,390,10,0,309.347857757259,1942.97362811494,0,0,10054.7114295305,2016.79356748184,15
"141",141,0,390,10,0,310.041015178864,1943.47205469717,0,0,9968.53164457609,2016.79356748184,15
"142",142,0,390,10,0,310.730070877832,1943.96619759796,0,0,9882.85801583174,2016.79356748184,15
"143",143,0,390,10,0,311.415018814667,1944.45608216577,0,0,9797.69135628575,2016.79356748184,15
"144",144,0,390,10,0,312.095853484238,1944.94173378639,0,0,9713.03241241448,2016.79356748184,15
"145",145,0,390,10,0,312.772569911914,1945.42317787962,0,0,9628.88186464703,2016.79356748184,15
"146",146,0,390,10,0,313.445163649547,1945.90043989602,0,0,9545.24032784335,2016.79356748184,15
"147",147,0,390,10,0,314.113630771341,1946.37354531361,0,0,9462.1083517905,2016.79356748184,15
"148",148,0,390,10,0,314.777967869602,1946.84251963469,0,0,9379.48642171317,2016.79356748184,15
"149",149,0,390,10,0,315.438172050361,1947.30738838263,0,0,9297.3749587994,2016.79356748184,15
"150",150,0,390,10,0,316.094240928887,1947.76817709867,0,0,9215.77432074112,2016.79356748184,15
"151",151,0,390,10,0,316.746172625087,1948.22491133878,0,0,9134.68480228887,2016.79356748184,15
"152",152,0,390,10,0,317.393965758809,1948.67761667057,0,0,9054.10663582038,2016.79356748184,15
"153",153,0,390,10,0,318.037619445023,1949.12631867017,0,0,8974.0399919213,2016.79356748184,15
"154",154,0,390,10,0,318.677133288920,1949.57104291917,0,0,8894.4849799805,2016.79356748184,15
"155",155,0,390,10,0,319.312507380895,1950.01181500161,0,0,8815.441648796,2016.79356748184,15
"156",156,0,390,10,0,319.943742291458,1950.44866050097,0,0,8736.90998719515,2016.79356748184,15
"157",157,0,390,10,0,320.570839066045,1950.88160499720,0,0,8658.88992466324,2016.79356748184,15
"158",158,0,390,10,0,321.193799219733,1951.3106740638,0,0,8581.38133198555,2016.79356748184,15
"159",159,0,390,10,0,321.812624731899,1951.73589326490,0,0,8504.38402189971,2016.79356748184,15
"160",160,0,390,10,0,322.427318040773,1952.15728815238,0,0,8427.89774975667,2016.79356748184,15
"161",161,0,390,10,0,323.03788203793,1952.57488426309,0,0,8351.92221419339,2016.79356748184,15
"162",162,0,390,10,0,323.644320062717,1952.98870711599,0,0,8276.45705781376,2016.79356748184,15
"163",163,0,390,10,0,324.246635896587,1953.39878220938,0,0,8201.50186787763,2016.79356748184,15
"164",164,0,390,10,0,324.844833757403,1953.80513501823,0,0,8127.0561770007,2016.79356748184,15
"165",165,0,390,10,0,325.43891829365,1954.20779099142,0,0,8053.11946385906,2016.79356748184,15
"166",166,0,390,10,0,326.028894578608,1954.60677554912,0,0,7979.69115390407,2016.79356748184,15
"167",167,0,390,10,0,326.614768104468,1955.00211408012,0,0,7906.77062008299,2016.79356748184,15
"168",168,0,390,10,0,327.196544776388,1955.3938319393,0,0,7834.35718356604,2016.79356748184,15
"169",169,0,390,10,0,327.774230906517,1955.78195444502,0,0,7762.45011448093,2016.79356748184,15
"170",170,0,390,10,0,328.34783320796,1956.16650687666,0,0,7691.04863265182,2016.79356748184,15
"171",171,0,390,10,0,328.917358788719,1956.54751447207,0,0,7620.15190834496,2016.79356748184,15
"172",172,0,390,10,0,329.482815145577,1956.92500242522,0,0,7549.7590630179,2016.79356748184,15
"173",173,0,390,10,0,330.044210157967,1957.29899588373,0,0,7479.8691700749,2016.79356748184,15
"174",174,0,390,10,0,330.601552081801,1957.66951994651,0,0,7410.48125562535,2016.79356748184,15
"175",175,0,390,10,0,331.154849543266,1958.03659966147,0,0,7341.59429924588,2016.79356748184,15
"176",176,0,390,10,0,331.704111532615,1958.40026002321,0,0,7273.20723474754,2016.79356748184,15
"177",177,0,390,10,0,332.249347397912,1958.76052597076,0,0,7205.31895094338,2016.79356748184,15
"178",178,0,390,10,0,332.790566838777,1959.11742238538,0,0,7137.92829242115,2016.79356748184,15
"179",179,0,390,10,0,333.327779900111,1959.47097408839,0,0,7071.0340603165,2016.79356748184,15
"180",180,0,390,10,0,333.860996965804,1959.82120583905,0,0,7004.6350130888,2016.79356748184,15
"181",181,0,390,10,0,334.390228752439,1960.16814233241,0,0,6938.72986729877,2016.79356748184,15
"182",182,0,390,10,0,334.915486302986,1960.51180819733,0,0,6873.31729838639,2016.79356748184,15
"183",183,0,390,10,0,335.4367809805,1960.85222799440,0,0,6808.39594145054,2016.79356748184,15
"184",184,0,390,10,0,335.954124461804,1961.18942621401,0,0,6743.964392028,2016.79356748184,15
"185",185,0,390,10,0,336.467528731189,1961.52342727435,0,0,6680.02120687394,2016.79356748184,15
"186",186,0,390,10,0,336.977006074107,1961.85425551959,0,0,6616.56490474108,2016.79356748184,15
"187",187,0,390,10,0,337.482569070874,1962.18193521794,0,0,6553.59396715847,2016.79356748184,15
"188",188,0,390,10,0,337.984230590389,1962.50649055991,0,0,6491.10683921041,2016.79356748184,15
"189",189,0,390,10,0,338.482003783863,1962.82794565642,0,0,6429.10193031289,2016.79356748184,15
"190",190,0,390,10,0,338.97590207854,1963.14632453717,0,0,6367.5776149881,2016.79356748184,15
"191",191,0,390,10,0,339.46593917148,1963.46165114885,0,0,6306.53223364076,2016.79356748184,15
"192",192,0,390,10,0,339.952129023317,1963.77394935352,0,0,6245.96409332665,2016.79356748184,15
"193",193,0,390,10,0,340.43448585206,1964.08324292694,0,0,6185.87146852422,2016.79356748184,15
"194",194,0,390,10,0,340.913024126921,1964.38955555704,0,0,6126.2526019003,2016.79356748184,15
"195",195,0,390,10,0,341.387758562154,1964.69291084229,0,0,6067.10570507344,2016.79356748184,15
"196",196,0,390,10,0,341.858704110928,1964.99333229026,0,0,6008.42895937532,2016.79356748184,15
"197",197,0,390,10,0,342.325875959239,1965.29084331609,0,0,5950.22051660762,2016.79356748184,15
"198",198,0,390,10,0,342.789289519838,1965.58546724108,0,0,5892.4784997951,2016.79356748184,15
"199",199,0,390,10,0,343.248960426205,1965.87722729128,0,0,5835.20100393579,2016.79356748184,15
"200",200,0,390,10,0,343.704904526545,1966.16614659612,0,0,5778.38609674567,2016.79356748184,15
"201",201,0,390,10,0,344.157137877842,1966.45224818709,0,0,5722.03181940091,2016.79356748184,15
"202",202,0,390,10,0,344.605676739928,1966.73555499645,0,0,5666.13618727282,2016.79356748184,15
"203",203,0,390,10,0,345.050537569610,1967.01608985598,0,0,5610.69719066106,2016.79356748184,15
"204",204,0,390,10,0,345.491737014834,1967.29387549576,0,0,5555.7127955192,2016.79356748184,15
"205",205,0,390,10,0,345.929291908882,1967.56893454297,0,0,5501.18094417609,2016.79356748184,15
"206",206,0,390,10,0,346.363219264637,1967.84128952077,0,0,5447.09955605334,2016.79356748184,15
"207",207,0,390,10,0,346.793536268868,1968.11096284719,0,0,5393.4665283742,2016.79356748184,15
"208",208,0,390,10,0,347.22026027659,1968.37797683403,0,0,5340.27973686934,2016.79356748184,15
"209",209,0,390,10,0,347.643408805444,1968.64235368586,0,0,5287.53703647501,2016.79356748184,15
"210",210,0,390,10,0,348.062999530156,1968.90411549896,0,0,5235.23626202639,2016.79356748184,15
"211",211,0,390,10,0,348.479050277024,1969.16328426040,0,0,5183.37522894342,2016.79356748184,15
"212",212,0,390,10,0,348.891579018478,1969.4198818471,0,0,5131.95173391183,2016.79356748184,15
"213",213,0,390,10,0,349.300603867675,1969.67393002488,0,0,5080.96355555571,2016.79356748184,15
"214",214,0,390,10,0,349.706143073160,1969.92545044763,0,0,5030.40845510505,2016.79356748184,15
"215",215,0,390,10,0,350.108215013592,1970.17446465649,0,0,4980.28417705636,2016.79356748184,15
"216",216,0,390,10,0,350.506838192494,1970.42099407898,0,0,4930.58844982414,2016.79356748184,15
"217",217,0,390,10,0,350.902031233107,1970.66506002830,0,0,4881.31898638958,2016.79356748184,15
"218",218,0,390,10,0,351.293812873256,1970.90668370254,0,0,4832.47348493711,2016.79356748184,15
"219",219,0,390,10,0,351.682201960315,1971.14588618402,0,0,4784.04962948835,2016.79356748184,15
"220",220,0,390,10,0,352.067217446203,1971.38268843854,0,0,4736.04509052525,2016.79356748184,15
"221",221,0,390,10,0,352.448878382457,1971.61711131483,0,0,4688.4575256076,2016.79356748184,15
"222",222,0,390,10,0,352.827203915363,1971.84917554382,0,0,4641.28457998263,2016.79356748184,15
"223",223,0,390,10,0,353.202213281143,1972.07890173818,0,0,4594.52388718695,2016.79356748184,15
"224",224,0,390,10,0,353.573925801212,1972.30631039167,0,0,4548.17306964092,2016.79356748184,15
"225",225,0,390,10,0,353.942360877498,1972.53142187863,0,0,4502.22973923513,2016.79356748184,15
"226",226,0,390,10,0,354.307537987814,1972.75425645352,0,0,4456.69149790891,2016.79356748184,15
